country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Uganda,UGA,2001,21.2,
Uganda,UGA,2002,19.5,
Uganda,UGA,2003,18.4,
Uganda,UGA,2004,18.1,
Uganda,UGA,2005,18.8,
Uganda,UGA,2006,19.2,
Uganda,UGA,2007,19.6,
Uganda,UGA,2008,19.8,
Uganda,UGA,2009,18.7,
Uganda,UGA,2010,17.6,
Uganda,UGA,2011,17.7,
Uganda,UGA,2012,19.6,
Uganda,UGA,2013,21.3,
Uganda,UGA,2014,23.8,
Uganda,UGA,2015,30.6,21.5
Uganda,UGA,2016,35.4,24.0
Uganda,UGA,2017,35.5,25.6
Uganda,UGA,2018,35.9,24.9
Uganda,UGA,2019,33.1,23.4
Uganda,UGA,2020,33.1,22.1
Uganda,UGA,2021,25.6,20.7
Uganda,UGA,2022,24.2,17.7
Uganda,UGA,2023,22.0,14.9
