country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
United Arab Emirates,ARE,2001,2.5,
United Arab Emirates,ARE,2002,2.5,
United Arab Emirates,ARE,2003,2.5,
United Arab Emirates,ARE,2004,2.5,
United Arab Emirates,ARE,2005,3.1,
United Arab Emirates,ARE,2006,3.8,
United Arab Emirates,ARE,2007,4.6,
United Arab Emirates,ARE,2008,5.3,
United Arab Emirates,ARE,2009,5.9,
United Arab Emirates,ARE,2010,5.6,
United Arab Emirates,ARE,2011,4.9,
United Arab Emirates,ARE,2012,3.9,
United Arab Emirates,ARE,2013,3.5,
United Arab Emirates,ARE,2014,3.5,
United Arab Emirates,ARE,2015,3.6,
United Arab Emirates,ARE,2016,3.5,
United Arab Emirates,ARE,2017,3.4,
United Arab Emirates,ARE,2018,2.9,
United Arab Emirates,ARE,2019,2.8,
United Arab Emirates,ARE,2020,2.5,
United Arab Emirates,ARE,2021,2.5,
United Arab Emirates,ARE,2022,2.5,
United Arab Emirates,ARE,2023,2.5,0.9
