country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
United Kingdom,GBR,2001,2.5,
United Kingdom,GBR,2002,2.5,
United Kingdom,GBR,2003,2.5,
United Kingdom,GBR,2004,2.5,
United Kingdom,GBR,2005,2.5,
United Kingdom,GBR,2006,2.5,
United Kingdom,GBR,2007,2.5,
United Kingdom,GBR,2008,2.5,
United Kingdom,GBR,2009,2.5,
United Kingdom,GBR,2010,2.5,
United Kingdom,GBR,2011,2.5,
United Kingdom,GBR,2012,2.5,
United Kingdom,GBR,2013,2.5,
United Kingdom,GBR,2014,2.5,
United Kingdom,GBR,2015,2.5,1.9
United Kingdom,GBR,2016,2.5,2.1
United Kingdom,GBR,2017,2.5,1.7
United Kingdom,GBR,2018,2.5,1.3
United Kingdom,GBR,2019,2.5,0.7
United Kingdom,GBR,2020,2.5,1.1
United Kingdom,GBR,2021,2.5,1.6
United Kingdom,GBR,2022,2.5,2.5
United Kingdom,GBR,2023,2.5,3.3
