country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Uruguay,URY,2001,3.6,
Uruguay,URY,2002,3.3,
Uruguay,URY,2003,3.0,
Uruguay,URY,2004,2.6,
Uruguay,URY,2005,2.5,
Uruguay,URY,2006,2.5,
Uruguay,URY,2007,2.5,
Uruguay,URY,2008,2.5,
Uruguay,URY,2009,2.5,
Uruguay,URY,2010,2.5,
Uruguay,URY,2011,2.5,
Uruguay,URY,2012,2.5,
Uruguay,URY,2013,2.5,
Uruguay,URY,2014,2.5,
Uruguay,URY,2015,2.5,
Uruguay,URY,2016,2.5,
Uruguay,URY,2017,2.5,
Uruguay,URY,2018,2.5,1.7
Uruguay,URY,2019,2.5,2.1
Uruguay,URY,2020,2.5,2.5
Uruguay,URY,2021,2.5,2.9
Uruguay,URY,2022,2.5,2.9
Uruguay,URY,2023,2.5,2.7
