country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Uzbekistan,UZB,2001,19.0,
Uzbekistan,UZB,2002,20.4,
Uzbekistan,UZB,2003,18.9,
Uzbekistan,UZB,2004,16.0,
Uzbekistan,UZB,2005,13.0,
Uzbekistan,UZB,2006,10.3,
Uzbekistan,UZB,2007,8.0,
Uzbekistan,UZB,2008,6.2,
Uzbekistan,UZB,2009,4.8,
Uzbekistan,UZB,2010,3.6,
Uzbekistan,UZB,2011,2.8,
Uzbekistan,UZB,2012,2.5,
Uzbekistan,UZB,2013,2.5,
Uzbekistan,UZB,2014,2.5,
Uzbekistan,UZB,2015,2.5,1.9
Uzbekistan,UZB,2016,2.5,2.1
Uzbekistan,UZB,2017,2.5,2.2
Uzbekistan,UZB,2018,2.5,2.8
Uzbekistan,UZB,2019,2.5,4.0
Uzbekistan,UZB,2020,2.5,5.6
Uzbekistan,UZB,2021,2.5,6.8
Uzbekistan,UZB,2022,2.5,6.3
Uzbekistan,UZB,2023,2.5,5.2
