country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Vietnam,VNM,2001,19.5,
Vietnam,VNM,2002,17.7,
Vietnam,VNM,2003,16.0,
Vietnam,VNM,2004,15.3,
Vietnam,VNM,2005,15.2,
Vietnam,VNM,2006,14.9,
Vietnam,VNM,2007,13.8,
Vietnam,VNM,2008,12.5,
Vietnam,VNM,2009,11.3,
Vietnam,VNM,2010,10.4,
Vietnam,VNM,2011,9.3,
Vietnam,VNM,2012,8.8,
Vietnam,VNM,2013,8.4,
Vietnam,VNM,2014,8.3,
Vietnam,VNM,2015,8.0,
Vietnam,VNM,2016,7.7,
Vietnam,VNM,2017,7.3,0.5
Vietnam,VNM,2018,6.9,0.5
Vietnam,VNM,2019,6.4,0.5
Vietnam,VNM,2020,5.9,0.6
Vietnam,VNM,2021,5.6,1.2
Vietnam,VNM,2022,5.4,2.1
Vietnam,VNM,2023,5.3,2.2
