country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
World,OWID_WRL,2000,12.7,
World,OWID_WRL,2001,12.8,
World,OWID_WRL,2002,13.0,
World,OWID_WRL,2003,12.7,
World,OWID_WRL,2004,12.6,
World,OWID_WRL,2005,12.0,
World,OWID_WRL,2006,11.0,
World,OWID_WRL,2007,10.0,
World,OWID_WRL,2008,9.3,
World,OWID_WRL,2009,9.1,
World,OWID_WRL,2010,8.7,
World,OWID_WRL,2011,8.2,
World,OWID_WRL,2012,8.1,
World,OWID_WRL,2013,7.9,
World,OWID_WRL,2014,7.5,
World,OWID_WRL,2015,7.7,7.6
World,OWID_WRL,2016,7.6,7.7
World,OWID_WRL,2017,7.1,8.2
World,OWID_WRL,2018,7.3,8.6
World,OWID_WRL,2019,7.5,9.5
World,OWID_WRL,2020,8.5,10.2
World,OWID_WRL,2021,8.8,10.6
World,OWID_WRL,2022,8.7,10.6
World,OWID_WRL,2023,8.5,10.3
World,OWID_WRL,2024,8.2,
