country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Zambia,ZMB,2001,50.3,
Zambia,ZMB,2002,50.1,
Zambia,ZMB,2003,50.1,
Zambia,ZMB,2004,49.5,
Zambia,ZMB,2005,49.4,
Zambia,ZMB,2006,48.1,
Zambia,ZMB,2007,46.8,
Zambia,ZMB,2008,45.6,
Zambia,ZMB,2009,44.9,
Zambia,ZMB,2010,43.9,
Zambia,ZMB,2011,42.8,
Zambia,ZMB,2012,41.1,
Zambia,ZMB,2013,39.1,
Zambia,ZMB,2014,37.3,
Zambia,ZMB,2015,35.1,22.4
Zambia,ZMB,2016,33.4,23.8
Zambia,ZMB,2017,31.8,24.1
Zambia,ZMB,2018,31.5,25.0
Zambia,ZMB,2019,32.1,22.5
Zambia,ZMB,2020,33.9,22.4
Zambia,ZMB,2021,35.7,19.7
Zambia,ZMB,2022,36.2,19.0
Zambia,ZMB,2023,37.2,17.2
