country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Zimbabwe,ZWE,2001,32.8,
Zimbabwe,ZWE,2002,31.8,
Zimbabwe,ZWE,2003,31.4,
Zimbabwe,ZWE,2004,30.6,
Zimbabwe,ZWE,2005,29.5,
Zimbabwe,ZWE,2006,28.7,
Zimbabwe,ZWE,2007,27.9,
Zimbabwe,ZWE,2008,27.1,
Zimbabwe,ZWE,2009,28.0,
Zimbabwe,ZWE,2010,29.2,
Zimbabwe,ZWE,2011,29.9,
Zimbabwe,ZWE,2012,29.6,
Zimbabwe,ZWE,2013,31.1,
Zimbabwe,ZWE,2014,33.4,
Zimbabwe,ZWE,2015,34.3,35.5
Zimbabwe,ZWE,2016,32.8,36.7
Zimbabwe,ZWE,2017,30.9,35.9
Zimbabwe,ZWE,2018,31.0,34.2
Zimbabwe,ZWE,2019,30.0,32.1
Zimbabwe,ZWE,2020,28.2,31.3
Zimbabwe,ZWE,2021,24.8,28.6
Zimbabwe,ZWE,2022,21.4,26.1
Zimbabwe,ZWE,2023,19.7,25.1
